eNB1	eNB2	Using
36.8046	-9.73946	36.8046
37.0373	-11.0113	37.0373
37.32	-12.988	37.32
37.419	-12.1894	37.419
37.1603	-10.2095	37.1603
36.6812	-9.77053	36.6812
36.3925	-11.1672	36.3925
36.4953	-13.057	36.4953
36.6775	-12.0198	36.6775
36.6053	-10.1077	36.6053
36.3178	-9.81274	36.3178
36.1208	-11.3282	36.1208
36.1456	-13.1034	36.1456
36.1719	-11.8469	36.1719
36.0634	-10.016	36.0634
36.0965	-9.86589	36.0965
36.6257	-11.4933	36.6257
37.4546	-13.1259	37.4546
38.0997	-11.6728	38.0997
38.3402	-9.93483	38.3402
38.2586	-9.92992	38.2586
38.0421	-11.6608	38.0421
37.7449	-13.1238	37.7449
37.2516	-11.4994	37.2516
36.554	-9.86443	36.554
36.0663	-10.0047	36.0663
36.3498	-11.8292	36.3498
37.2087	-13.097	37.2087
38.0052	-11.3284	38.0052
38.4672	-9.80487	38.4672
38.6668	-10.09	38.6668
38.7244	-11.9965	38.7244
38.5994	-13.0463	38.5994
38.1355	-11.1614	38.1355
37.2915	-9.75636	37.2915
36.3694	-10.1856	36.3694
35.9478	-12.1606	35.9478
36.1567	-12.9729	36.1567
36.5186	-10.9994	36.5186
36.7467	-9.71882	36.7467
36.9463	-10.2912	36.9463
37.2284	-12.3193	37.2284
37.4309	-12.8784	37.4309
37.3156	-10.8437	37.3156
36.8832	-9.69247	36.8832
36.4695	-10.4065	36.4695
36.4326	-12.47	36.4326
36.6368	-12.7651	36.6368
36.6822	-10.6953	36.6822
36.4497	-9.6774	36.4497
36.1809	-10.531	36.1809
36.1308	-12.61	36.1308
36.1897	-12.6354	36.1897
36.1247	-10.5547	36.1247
40.7032	-10.8728	40.7032
40.4867	-11.4785	40.4867
39.4883	-11.822	39.4883
38.6718	-11.2233	38.6718
39.0329	-10.3832	39.0329
39.7139	-10.0665	39.7139
39.7082	-10.2554	39.7082
39.1179	-10.3957	39.1179
38.9404	-10.1464	38.9404
39.6058	-9.93754	39.6058
40.1218	-10.2834	40.1218
39.757	-11.1129	39.757
38.7267	-11.5818	38.7267
38.3362	-11.065	38.3362
39.2517	-10.309	39.2517
40.1639	-10.0223	40.1639
40.3008	-10.1036	40.3008
39.9687	-10.018	39.9687
40.0066	-9.62521	40.0066
40.5445	-9.43068	40.5445
40.7686	-9.85293	40.7686
40.1551	-10.7588	40.1551
39.0139	-11.3657	39.0139
38.6623	-11.14	38.6623
39.5485	-10.7488	39.5485
40.36	-10.8209	40.36
40.4758	-11.1474	40.4758
40.3046	-11.0313	40.3046
40.5712	-10.4472	40.5712
41.1487	-10.13	41.1487
41.2687	-10.4906	41.2687
40.5513	-11.2353	40.5513
39.3687	-11.4987	39.3687
38.9209	-11.0493	38.9209
39.5152	-10.7077	39.5152
39.9655	-10.9626	39.9655
39.7462	-11.4761	39.7462
39.416	-11.4648	39.416
39.8145	-10.9534	39.8145
40.5519	-10.7462	40.5519
40.6921	-11.189	40.6921
39.9409	-11.7676	39.9409
38.8823	-11.5249	38.8823
38.7793	-10.6515	38.7793
39.5058	-10.0902	39.5058
39.8177	-10.1279	39.8177
39.3744	-10.3628	39.3744
38.9004	-10.253	38.9004
39.3039	-9.94989	39.3039
40.0118	-10.0472	40.0118
40.0211	-10.7471	40.0211
39.1541	-11.4888	39.1541
38.3198	-11.3341	38.3198
38.8164	-10.5463	38.8164
39.8928	-10.0463	39.8928
40.3461	-10.038	40.3461
40.1089	-10.0763	40.1089
39.9145	-9.767	39.9145
40.3286	-9.42405	40.3286
40.774	-9.58539	40.774
40.5038	-10.3626	40.5038
39.462	-11.2023	39.462
38.6241	-11.28	38.6241
41.9565	-10.8336	41.9565
42.9823	-11.5154	42.9823
42.5553	-12.7235	42.5553
41.0629	-12.4807	41.0629
40.6494	-11.1791	40.6494
42.0922	-10.7145	42.0922
43.0119	-11.585	43.0119
42.4643	-12.9866	42.4643
40.9418	-12.8202	40.9418
40.6972	-11.5605	40.6972
42.1872	-11.2285	42.1872
43.0135	-12.3175	43.0135
42.3627	-13.8123	42.3627
40.8483	-13.2706	40.8483
40.7962	-11.7701	40.7962
42.308	-11.4474	42.308
43.0257	-12.627	43.0257
42.2648	-14.0936	42.2648
40.7584	-13.3461	40.7584
40.8843	-11.8295	40.8843
42.404	-11.6023	42.404
43.0159	-12.8663	43.0159
42.1539	-14.1925	42.1539
40.6808	-13.1976	40.6808
40.99	-11.7043	40.99
