eNB1	eNB2	Using
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
38.1962	23.7654	38.1962
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
42.2656	24.0945	42.2656
